FID,GEOID10,ZCTA5CE10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng,Shape_Area,GEOG_UNIT,Cases,cases_nume,zcta,pop_total,White,Hispanic_o,Black_or_A,Asian,American_I,Two_or_mor,pct_nonwhi,pct_black,pct_latinx,pct_asian,pct_native,largest_mi,cases_per_,index_righ,year,geoid,name,variable,estimate,moe
22,55055,55055,B5,G6350,S,9171899.000000000000000,626822.000000000000000,+44.8744622,-092.9987120,16362.790147399999114,9790881.201920000836253,55055,25,25.000000000000000,55055,3506.000000000000000,2649.000000000000000,140.000000000000000,377.000000000000000,144.000000000000000,0.000000000000000,196.000000000000000,0.244438106103822,0.107529948659441,0.039931545921278,0.041072447233314,0.000000000000000,black,7.130633200228181,81.000000000000000,2018,55055,ZCTA5 55055,median_hh_income,63341,6039
23,55057,55057,B5,G6350,S,323792153.000000000000000,6515511.000000000000000,+44.4704569,-093.1761251,155731.045317000010982,330045362.685999989509583,55057,120,120.000000000000000,55057,25091.000000000000000,21432.000000000000000,1807.000000000000000,534.000000000000000,672.000000000000000,65.000000000000000,538.000000000000000,0.145829181778327,0.021282531585030,0.072017855007772,0.026782511657566,0.002590570324021,latinx,4.782591367422581,68.000000000000000,2018,55057,ZCTA5 55057,median_hh_income,71968,3060
24,55065,55065,B5,G6350,S,85120760.000000000000000,722363.000000000000000,+44.5507581,-093.0249545,76387.501279000003706,85774511.269099995493889,55065,<=5,1.000000000000000,55065,1184.000000000000000,1177.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4.000000000000000,0.005912162162162,0.000000000000000,0.002533783783784,0.000000000000000,0.000000000000000,latinx,0.844594594594595,18.000000000000000,2018,55065,ZCTA5 55065,median_hh_income,83750,8814
25,55068,55068,B5,G6350,S,110950439.000000000000000,5273729.000000000000000,+44.7355161,-093.0627731,65073.331700299997465,116131358.129999995231628,55068,128,128.000000000000000,55068,29474.000000000000000,25071.000000000000000,1141.000000000000000,1181.000000000000000,1223.000000000000000,0.000000000000000,834.000000000000000,0.149385899436792,0.040069213544141,0.038712085227658,0.041494198276447,0.000000000000000,asian,4.342810612743435,81.000000000000000,2018,55068,ZCTA5 55068,median_hh_income,95940,4461
26,55070,55070,B5,G6350,S,71016286.000000000000000,758445.000000000000000,+45.4100322,-093.3869849,62076.238340500000049,71718980.805800005793571,55070,28,28.000000000000000,55070,7810.000000000000000,7130.000000000000000,306.000000000000000,0.000000000000000,24.000000000000000,7.000000000000000,343.000000000000000,0.087067861715749,0.000000000000000,0.039180537772087,0.003072983354673,0.000896286811780,latinx,3.585147247119078,1.000000000000000,2018,55070,ZCTA5 55070,median_hh_income,82114,3369
27,55071,55071,B5,G6350,S,13296407.000000000000000,3022612.000000000000000,+44.8215113,-092.9982353,24205.395348499998363,16305966.961200000718236,55071,60,60.000000000000000,55071,5684.000000000000000,4666.000000000000000,284.000000000000000,43.000000000000000,423.000000000000000,9.000000000000000,259.000000000000000,0.179099225897255,0.007565095003519,0.049964813511612,0.074419422941590,0.001583391977481,asian,10.555946516537649,81.000000000000000,2018,55071,ZCTA5 55071,median_hh_income,73165,8196
28,55073,55073,B5,G6350,S,71832198.000000000000000,4990364.000000000000000,+45.2725326,-092.8148711,63671.727716699999291,76761490.807999998331070,55073,<=5,1.000000000000000,55073,3600.000000000000000,3475.000000000000000,90.000000000000000,14.000000000000000,0.000000000000000,7.000000000000000,14.000000000000000,0.034722222222222,0.003888888888889,0.025000000000000,0.000000000000000,0.001944444444444,latinx,0.277777777777778,81.000000000000000,2018,55073,ZCTA5 55073,median_hh_income,97888,15099
29,55074,55074,B5,G6350,S,90042893.000000000000000,2817237.000000000000000,+45.3877786,-092.7200316,60985.868232000000717,92786861.665500000119209,55074,7,7.000000000000000,55074,2378.000000000000000,2255.000000000000000,72.000000000000000,2.000000000000000,3.000000000000000,10.000000000000000,36.000000000000000,0.051724137931034,0.000841042893188,0.030277544154752,0.001261564339781,0.004205214465938,latinx,2.943650126156434,81.000000000000000,2018,55074,ZCTA5 55074,median_hh_income,80789,6631
30,55075,55075,B5,G6350,S,14676668.000000000000000,1270044.000000000000000,+44.8880271,-093.0404974,25473.779770799999824,15933966.060599999502301,55075,169,169.000000000000000,55075,20274.000000000000000,15151.000000000000000,2621.000000000000000,541.000000000000000,418.000000000000000,73.000000000000000,1470.000000000000000,0.252688172043011,0.026684423399428,0.129278879352866,0.020617539706027,0.003600670809904,latinx,8.335799546216830,81.000000000000000,2018,55075,ZCTA5 55075,median_hh_income,60528,3176
31,55076,55076,B5,G6350,S,23657440.000000000000000,4016887.000000000000000,+44.8360655,-093.0321736,38378.708320199999434,27652192.301600001752377,55076,147,147.000000000000000,55076,21681.000000000000000,16881.000000000000000,2361.000000000000000,734.000000000000000,886.000000000000000,27.000000000000000,676.000000000000000,0.221392002213920,0.033854527005212,0.108897191088972,0.040865273741986,0.001245330012453,latinx,6.780130067801300,81.000000000000000,2018,55076,ZCTA5 55076,median_hh_income,74531,5313
32,55077,55077,B5,G6350,S,48395909.000000000000000,2046957.000000000000000,+44.8194105,-093.0678101,39159.970208999999159,50402562.793399997055531,55077,129,129.000000000000000,55077,13474.000000000000000,9933.000000000000000,1522.000000000000000,787.000000000000000,938.000000000000000,8.000000000000000,273.000000000000000,0.262802434317946,0.058408787294048,0.112958290040077,0.069615555885409,0.000593736084311,latinx,9.573994359507198,18.000000000000000,2018,55077,ZCTA5 55077,median_hh_income,75458,6285
33,55079,55079,B5,G6350,S,158940712.000000000000000,9876890.000000000000000,+45.4194671,-093.0353928,83157.161842700006673,168682703.014999985694885,55079,11,11.000000000000000,55079,8726.000000000000000,8167.000000000000000,58.000000000000000,55.000000000000000,113.000000000000000,39.000000000000000,291.000000000000000,0.064061425624570,0.006303002521201,0.006646802658721,0.012949805179922,0.004469401787761,asian,1.260600504240202,1.000000000000000,2018,55079,ZCTA5 55079,median_hh_income,87926,3832
34,55082,55082,B5,G6350,S,202584396.000000000000000,14541149.000000000000000,+45.0731274,-092.8397681,109769.931274000002304,216952789.587999999523163,55082,121,121.000000000000000,55082,35867.000000000000000,33308.000000000000000,541.000000000000000,756.000000000000000,430.000000000000000,99.000000000000000,692.000000000000000,0.071346920567653,0.021077871023503,0.015083502941422,0.011988736164162,0.002760197395935,black,3.373574595031645,81.000000000000000,2018,55082,ZCTA5 55082,median_hh_income,94366,5210
35,55085,55085,B5,G6350,S,2078720.000000000000000,22423.000000000000000,+44.6697747,-092.9634322,6475.047265180000068,2099463.750049999915063,55085,<=5,1.000000000000000,55085,498.000000000000000,469.000000000000000,18.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,0.000000000000000,0.058232931726908,0.000000000000000,0.036144578313253,0.022088353413655,0.000000000000000,latinx,2.008032128514056,18.000000000000000,2018,55085,ZCTA5 55085,median_hh_income,80313,14377
36,55088,55088,B5,G6350,S,90360833.000000000000000,343219.000000000000000,+44.5235865,-093.3834549,80388.078599400003441,90633651.489299997687340,55088,<=5,1.000000000000000,55088,1722.000000000000000,1689.000000000000000,8.000000000000000,0.000000000000000,10.000000000000000,2.000000000000000,13.000000000000000,0.019163763066202,0.000000000000000,0.004645760743322,0.005807200929152,0.001161440185830,asian,0.580720092915215,68.000000000000000,2018,55088,ZCTA5 55088,median_hh_income,96625,18174
37,55089,55089,B5,G6350,S,156498738.000000000000000,8380570.000000000000000,+44.5837791,-092.7164163,100937.651343999998062,164749549.263000011444092,55089,8,8.000000000000000,55089,1843.000000000000000,1576.000000000000000,12.000000000000000,24.000000000000000,16.000000000000000,191.000000000000000,24.000000000000000,0.144872490504612,0.013022246337493,0.006511123168747,0.008681497558329,0.103635377102550,nativeamer,4.340748779164405,18.000000000000000,2018,55089,ZCTA5 55089,median_hh_income,90329,12093
38,55090,55090,B5,G6350,S,258319.000000000000000,14732.000000000000000,+45.0533322,-092.9575365,2525.811195270000098,272829.740526999987196,55090,0,0.000000000000000,55090,280.000000000000000,256.000000000000000,20.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4.000000000000000,0.085714285714286,0.000000000000000,0.071428571428571,0.000000000000000,0.000000000000000,latinx,0.000000000000000,81.000000000000000,2018,55090,ZCTA5 55090,median_hh_income,44677,7075
